28,079,004,08,08,04,2024,03,14,V,12,V,10,V,12,V,22,V,37,V,36,V,16,V,12,V,10,V,21,V,44,V,41,V,30,V,32,V,30,V,30,V,41,V,41,V,30,V,30,N,38,V,30,V,18,V,19,V,11,V,10,V,8,V,12,V,15,V,12,V
28,079,004,08,08,04,2024,04,15,V,25,V,18,V,34,V,35,V,43,V,27,V,14,V,18,V,26,V,25,V,35,V,37,V,30,V,38,V,27,V,15,V,16,V,23,V,22,V,13,V,12,V,17,V,18,V,35,V,22,V,11,V,17,V,21,V,17,V,0,N
28,079,004,08,08,04,2024,05,8,V,9,V,12,V,13,V,11,V,17,V,21,V,24,V,41,V,37,V,18,V,26,V,25,V,13,V,10,V,13,V,12,V,14,V,15,V,20,V,17,V,16,V,25,V,19,V,24,V,27,V,22,V,21,V,25,V,20,V,11,V
28,079,004,12,08,04,2024,01,51,V,107,V,40,V,53,V,24,V,21,V,45,V,103,V,59,V,49,V,56,V,63,V,96,V,80,V,33,V,26,V,17,V,19,V,44,V,33,V,56,V,109,V,135,V,181,V,197,V,189,V,114,V,86,V,102,V,131,V,134,V
28,079,004,12,08,04,2024,02,132,V,88,V,73,V,74,V,144,V,91,V,30,V,36,V,26,V,12,V,16,V,19,V,58,V,74,V,65,V,43,V,67,V,66,V,78,V,92,V,74,V,21,V,26,V,30,V,14,V,23,V,28,V,51,V,62,V,0,N,0,N
28,079,004,12,08,04,2024,03,18,V,14,V,13,V,16,V,28,V,57,V,49,V,21,V,16,V,13,V,28,V,79,V,82,V,61,V,62,V,68,V,57,V,85,V,81,V,55,V,43,N,63,V,47,V,22,V,24,V,14,V,13,V,10,V,15,V,19,V,15,V
28,079,004,12,08,04,2024,04,19,V,45,V,21,V,62,V,63,V,57,V,37,V,18,V,23,V,41,V,50,V,54,V,50,V,37,V,65,V,43,V,19,V,21,V,29,V,29,V,17,V,16,V,23,V,24,V,53,V,29,V,15,V,27,V,26,V,24,V,0,N
28,079,004,12,08,04,2024,05,11,V,12,V,15,V,17,V,14,V,21,V,33,V,35,V,63,V,53,V,22,V,32,V,38,V,17,V,14,V,18,V,16,V,18,V,18,V,31,V,21,V,21,V,32,V,24,V,32,V,33,V,31,V,26,V,32,V,28,V,15,V
28,079,008,01,38,04,2024,01,5,N,1,N,1,V,1,V,1,V,2,V,2,V,1,V,2,V,2,V,2,V,1,V,2,V,2,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,2,V,2,V,3,V,3,V,3,V,3,V,2,V,42,N,1,N,1,V
28,079,008,01,38,04,2024,02,3,V,2,V,2,V,1,V,2,V,3,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,2,V,1,V,0,N,0,N
28,079,008,01,38,04,2024,03,1,V,1,V,1,V,1,V,1,V,2,V,1,V,1,V,1,V,1,V,1,V,2,V,2,V,2,V,2,V,2,V,2,V,2,V,3,N,3,V,2,V,3,V,2,V,2,V,2,V,2,V,2,V,2,V,2,V,2,V,2,V
28,079,008,01,38,04,2024,04,3,V,3,V,3,V,3,V,4,V,4,V,3,V,3,V,3,V,4,V,4,V,4,V,4,V,5,V,4,V,4,V,4,V,4,V,4,V,4,V,4,V,4,V,4,V,5,V,5,V,4,V,4,V,5,V,5,V,5,V,0,N
28,079,008,01,38,04,2024,05,5,V,5,V,5,V,5,V,5,V,5,V,6,V,6,V,7,V,7,V,6,V,6,V,6,V,6,V,6,V,6,V,6,V,6,V,7,V,7,N,1,N,1,N,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V
